"X","Id","Titre","Auteurs","Description","Date"
643,208243,"Decomposing the Proof of Correctness of Pipelined Microprocessors","Mandayam Srivas; Ravi Hosabettu;",". We present a systematic approach to decompose and incrementally build the proof of correctness of pipelined microprocessors. The central idea is to construct the abstraction function using completion functions, one per unfinished instruction, each of which specifies the effect (on the observables) of completing the instruction. In addition to avoiding term-size and case explosion problem that limits the pure flushing approach, our method helps localize errors, and also handles stages with iterative loops. The technique is illustrated on a pipelined and a superscalar pipelined implementations of a subset of the DLX architecture. It has also been applied to a processor with out-of-order execution. 1 Introduction Many modern microprocessors employ radical optimizations such as superscalar pipelining, speculative execution and out-of-order execution to enhance their throughput. These optimizations make microprocessor verification difficult in practice. Most approaches to mechanical ver...","1999-08-23"
644,208724,"Learning One More Thing","Sebastian Thrun; Tom M. Mitchell;","Most research on machine learning has focused on scenarios in which a learner faces a single, isolated learning task. The lifelong learning framework assumes that the learner encounters a multitude of related learning tasks over its lifetime, providing the opportunity for the transfer of knowledge among these. This paper studies lifelong learning in the context of binary classification. It presents the invariance approach, in which knowledge is transferred via a learned model of the invariances of the domain. Results on learning to recognize objects from color images demonstrate superior generalization capabilities if invariances are learned and used to bias subsequent learning. 1 Introduction Supervised learning is concerned with learning an unknown target function from a finite collection of input-output examples of that function. Formally, the framework of supervised learning can be characterized as follows. Let F denote the set of all target functions. For example, in a robot arm ...","1999-08-26"
645,210287,"Construction of abstract state graphs with PVS","Hassen Saidi; Susanne Graf;",": We describe in this paper a method based on abstract interpretation which, from a theoretical point of view, is similar to the splitting methods proposed in [DGG93, Dam96] but the weaker abstract transition relation we use, allows us to construct automatically abstract state graphs paying a reasonable price. We consider a particular set of abstract states: the set of the monomials on a set of state predicates ' 1 ; :::; ' ` . The successor of an abstract state m for a transition ø of the program is the least monomial satisfied by all successors via ø of concrete states satisfying m. This successor m 0 can be determined exactly if for each predicate ' i it can be determined if ' i or :' i is a postcondition of m for ø . In order to do this, we use the Pvs theorem prover [SOR93] and our Pvs-interface defined in [GS96]. If the tactic used for the proof of the verification conditions is not powerful enough, only an upper approximation of the abstract successor m is constructed. This a...","1999-02-26"
646,210342,"Efficient Representation and Computation of Tableaux Proofs","Klaus Schneider; Ramayya Kumar; Thomas Kropf;","The current first-order automatic prover FAUST, embedded in HOL, is based on a sequent calculus which is quite slow and memory intensive. In this paper, an improved version of FAUST using a modified form of tableau calculus called Tableau Graph Calculus is presented which overcomes the well-known inefficiencies of the traditional tableau calculus to a large extent. This calculus works on a compact representation of analytic tableaux called tableau graphs which are obtained by a preprocessing step which covers most of the rule applications of usual tableau calculus. This representation retains the clarity of the input formula and furthermore, its size is linear with respect to the length of the input formula. As a result of this preprocessing, our calculus has only one single rule which is repeatedly applied to obtain a proof. Many optimizations for the rule applications to effectively prune the search space are presented as well and are currently being implemented in a new version of F...","1997-12-19"
647,210594,"Computing Minimum and Maximum Reachability Times in Probabilistic Systems","Luca De Alfaro;","A Markov decision process is a generalization of a Markov chain in which both probabilistic and nondeterministic choice coexist. Given a Markov decision process with costs associated with the transitions and a set of target states, the stochastic shortest path problem consists in computing the minimum expected cost of a control strategy that guarantees to reach the target. In this paper, we consider the classes of stochastic shortest path problems in which the costs are all non-negative, or all non-positive. Previously, these two classes of problems could be solved only under the assumption that the policies that minimize or maximize the expected cost also lead to the target with probability 1. This assumption does not necessarily hold for Markov decision processes that arise as model for distributed probabilistic systems. We present efficient methods for solving these two classes of problems without relying on additional assumptions. The methods are based on algorithms to transform th...","1999-06-04"
648,210810,"Microcode Generation for Flexible Parallel Target Architectures","Peter Marwedel; Rainer Leupers; Wolfgang Schenk;",": Advanced architectural features of microprocessors like instruction level parallelism and pipelined functional hardware units require code generation techniques beyond the scope of traditional compilers. Additionally, recent design styles in the area of digital signal processing pose a strong demand for retargetable compilation. This paper presents an approach to code generation based on netlist descriptions of the target processor. The basic features of the MSSQ microcode compiler are outlined, and novel techniques for handling complex hardware modules and multi-cycle operations are presented. 1 Keyword Codes: B.1.4 Keywords: Control Structures and Microprogramming, Microprogram Design Aids 1 Introduction Besides instruction pipelining, two important means for increasing the throughput of microprocessors have been identified by hardware designers: instruction level parallelism and data pipelining. Instruction level parallelism comprises several functional units working independent...","1999-06-30"
649,212034,"Genetic Programming","John R. Koza;","Introduction Genetic programming is a domain-independent problem-solving approach in which computer programs are evolved to solve, or approximately solve, problems. Genetic programming is based on the Darwinian principle of reproduction and survival of the fittest and analogs of naturally occurring genetic operations such as crossover (sexual recombination) and mutation. John Holland's pioneering Adaptation in Natural and Artificial Systems (1975) described how an analog of the evolutionary process can be applied to solving mathematical problems and engineering optimization problems using what is now called the genetic algorithm (GA). The genetic algorithm attempts to find a good (or best) solution to the problem by genetically breeding a population of individuals over a series of generations. In the genetic algorithm, each individual in the population represents a candidate solut","1999-07-30"
650,212842,"Runtime Assurance Based On Formal Specifications","I. Lee; M. Kim; M. Viswanathan; O. Sokolsky; S. Kannan;","We describe the Monitoring and Checking (MaC) framework which assures the correctness of the current execution at run-time. Monitoring is performed based on a formal specification of system requirements. MaC bridges the gap between formal specification and verification, which ensures the correctness of a design rather than an implementation, and testing, which partially validates an implementation. An important aspect of the framework is a clear separation between implementation-dependent description of monitored objects and high-level requirements specification. Another salient feature is automatic instrumentation of executable code. The paper presents an overview of the framework and two languages to specify monitoring scripts and requirements, and briefly explain our on-going prototype implementation. 1 Introduction Much research in the past two decades concentrated on methods for analysis and validation of distributed and real-time systems. Important results have been achieved, in...","1999-04-26"
651,213792,"Partial-Order Methods for Model Checking: From Linear Time to Branching Time","Bernard Willems; Pierre Wolper;","Partial-order methods make it possible to check properties of a concurrent system by state-space exploration without considering all interleavings of independent concurrent events. They have been applied to linear-time model checking, but so far only limited results are known about their applicability to branching-time model checking. In this paper, we introduce a general technique for lifting partial-order methods from linear-time to branching-time logics. This technique is shown to be applicable both to reductions that are applied to the structure representing the program before running the model checking procedure, as well as to reductions that can be obtained whenmodel checking is done in an automata-theoretic framework. The latter are extended to branching-time logics by using the model-checking framework based on alternating automata introduced by Bernholtz, Vardi and Wolper. 1. Introduction Model checking [6, 17, 20, 26] is by now a widespread technique for verifying concurrent...","1996-07-30"
652,214041,"Building A Federated Relational Database System: An Approach Using A Knowledge-Based System","An Approach; System Miguel Blanco; Using A Knowledge-based;","Due to the emerging interest in integrating different application environments, there have been many recent proposals for federated systems. In this paper, a federated system that permits the integration of heterogeneous relational databases using a terminological knowledge representation system is presented. In particular, two of the system's components: the translator and the integrator are explained in depth. The translator permits one to obtain a terminology from a relational schema, either semiautomatically, by expressing database properties, or manually, by using a set of predefined operations. In turn, the integrator generates a federated terminology by integrating several terminologies using the semantics expressed as correspondences between the data elements of different terminologies. Unlike many other approaches, the use of a terminological system permits us to obtain a semantically richer federated terminology and, at the same time, define a wider and more consistent integr...","1998-05-23"
653,214148,"Least Fixpoint Approximations for Reachability Analysis","Fabio Somenzi; In-ho Moon; James Kukula; Tom Shiple;","The knowledge of the reachable states of a sequential circuit can dramatically speed up optimization and model checking. However, since exact reachability analysis may be intractable, approximate techniques are often preferable. Cho et al. presented the Machine-By-Machine (MBM) and Frame-By-Frame (FBF) methods to perform approximate FSM traversal. FBF produces tighter upper bounds than MBM; however, it usually takes much more time and it may have convergence problems. In this paper, we show that there exists a class of methods---Least Fixpoint Approximations--- that compute the same results as RFBF (Reached FBF, one of the FBF methods). We show that one member of this class, which we call Least fixpoint MBM (LMBM), is as efficient as MBM, but provably more accurate. Therefore, the trade-off that existed between MBM and RFBF has been eliminated. LMBM can compute RFBFquality approximations for all the large ISCAS-89 benchmark circuits in a total of less than 9000 seconds. 1 Introduction...","1999-08-13"
654,214254,"Closed Terminologies in Description Logics","Robert A. Weida;","We introduce a predictive concept recognition methodology for description logics based on a new closed terminology assumption. During knowledge engineering, our system adopts the standard open terminology assumption as it automatically classifies concept descriptions into a taxonomy via subsumption inferences. However, for applications like configuration, the terminology becomes fixed during problem solving. Then, closed terminology reasoning is more appropriate. In our interactive configuration application, a user incrementally specifies an individual computer system in collaboration with a configuration engine. Choices can be made in any order and at any level of abstraction. We distinguish between abstract and concrete concepts to formally define when an individual's description may be considered finished. We also take advantage of the closed terminology assumption, together with the terminology's subsumptionbased organization, to efficiently track the types of systems and component...","1998-02-02"
655,215202,"A Decision Procedure for a Class of Set Constraints","And Joxan Jaffar; Nevin Heintze;","A set constraint is of the form exp 1 ' exp 2 where exp 1 and exp 2 are set expressions constructed using variables, function symbols, projection symbols, and the set union, intersection and complement symbols. While the satisfiability problem for such constraints is open, restricted classes have been useful in program analysis. The main result herein is a decision procedure for definite set constraints which are of the restricted form a ' exp where a contains only constants, variables and function symbols, and exp is a positive set expression (that is, it does not contain the complement symbol). A conjunction of such constraints, whenever satisfiable, has a least model and the algorithm will output an explicit representation of this model. 1 1 Introduction We consider a formalism for elementary set algebra which is useful for describing properties of programs whose underlying domain of computation is a Herbrand universe. The domain of discourse for this formalism is the powerset of...","1995-06-13"
656,217271,"Tearing Based Automatic Abstraction for CTL Model Checking","Abelardo Pardo; Fabio Somenzi; Gary Hachtel; Jae-young Jang; Woohyuk Lee;","ion for CTL Model Checking Woohyuk Lee Abelardo Pardo Jae-Young Jang Gary Hachtel Fabio Somenzi University of Colorado ECEN Campus Box 425 Boulder, CO, 80309 Abstract In this paper we present the tearing paradigm as a way to automatically abstract behavior to obtain upper and lower bound approximations of a reactive system. We present algorithms that exploit the bounds to perform conservative ECTL and ACTL model checking. We also give an algorithm for false negative (or false positive) resolution for verification based on a theory of a lattice of approximations. We show that there exists a bipartition of the lattice set based on positive versus negative verification results. Our resolution methods are based on determining a pseudo-optimal shortest path from a given, possibly coarse but tractable approximation, to a nearest point on the contour separating one set of the bipartition from the other. 1 Introduction We describe an approach for approximation-based formal verification o...","1996-10-04"
657,217381,"Integration in Real PCF","Abbas Edalat; Martn Hotzel Escardo;","Real PCF is an extension of the programming language PCF with a data type for real numbers. Although a Real PCF definable real number cannot be computed in finitely many steps, it is possible to compute an arbitrarily small rational interval containing the real number in a sufficiently large number of steps. Based on a domain-theoretic approach to integration, we show how to define integration in Real PCF. We propose two approaches to integration in Real PCF. One consists in adding integration as primitive. The other consists in adding a primitive for maximization of functions and then recursively defining integration from maximization. In both cases we have an adequacy theorem for the corresponding extension of Real PCF. Moreover, based on previous work on Real PCF definability, we show that Real PCF extended with the maximization operator is universal, which implies that it is also fully abstract. 1. Introduction Traditionally, in computing science one represents real numbers by floa...","1996-03-28"
658,218891,"Unification in the Union of Disjoint Equational Theories: Combining Decision Procedures","Equational Theories; Franz Baader; Klaus U. Schulz; Lehr- Und Forschungsgebiet Theoretische;","Most of the work on the combination of unification algorithms for the union of disjoint equational theories has been restricted to algorithms which compute finite complete sets of unifiers. Thus the developed combination methods usually cannot be used to combine decision procedures, i.e., algorithms which just decide solvability of unification problems without computing unifiers. In this paper we describe a combination algorithm for decision procedures which works for arbitrary equational theories, provided that solvability of so-called unification problems with constant restrictions---a slight generalization of unification problems with constants---is decidable for these theories. As a consequence of this new method, we can for example show that general A-unifiability, i.e., solvability of A-unification problems with free function symbols, is decidable. Here A stands for the equational theory of one associative function symbol. Our method can also be used to combine algorithms which ...","1995-10-11"
659,219063,"A Case Study in Model Checking Software Systems","Jeannette M. Wing; Mandana Vaziri-farahani;","Model checking is a proven successful technology for verifying hardware. It works, however, on only finite state machines, and most software systems have infinitely many states. Our approach to applying model checking to software hinges on identifying appropriate abstractions that exploit the nature of both the system, S, and the property, OE, to be verified. We check OE on an abstracted, but finite, model of S. Following this approach we verified three cache coherence protocols used in distributed file systems. These protocols have to satisfy this property: ""If a client believes that a cached file is valid then the authorized server believes that the client's copy is valid."" In our finite model of the system, we need only represent the ""beliefs"" that a client and a server have about a cached file; we can abstract from the caches, the files' contents, and even the files themselves. Moreover, by successive application of the generalization rule from predicate logic, we need only conside...","1996-05-30"
660,219179,"The Java Language Specification","Bill Joy; Frank Yellin; Guy Steele; Harlow England; James Gosling; Kathy Walrath; Ken Arnold; Mary Campione; Rosanna Lee; Technical Advisor; Tim Lindholm;","Method Declarations . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 189 9.4.1 Inheritance and Overriding . . . . . . . . . . . . . . . . . . . . . . . . . . . . 189 9.4.2 Overloading . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 190 9.4.3 Examples of Abstract Method Declarations . . . . . . . . . . . . . . . 190 9.4.3.1 Example: Overriding . . . . . . . . . . . . . . . . . . . . . . . . 190 9.4.3.2 Example: Overloading . . . . . . . . . . . . . . . . . . . . . . . 191 10 Arrays. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 193 10.1 Array Types . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 194 10.2 Array Variables . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . xii 10.3 Array Creation . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 195 10.4 Array Access...","1996-09-11"
661,219258,"Decidability of Model Checking for Infinite-State Concurrent Systems","Javier Esparza;","We study the decidability of the model checking problem for linear and branching time logics, and two models of concurrent computation, namely Petri nets and Basic Parallel Processes. 1 Introduction Most techniques for the verification of concurrent systems proceed by an exhaustive traversal of the state space. Therefore, they are inherently incapable of considering systems with infinitely many states. Recently, some new methods have been developed in order to at least palliate this problem. Using them, several verification problems for some restricted infinite-state models have been shown to be decidable. These results can be classified into those showing the decidability of equivalence relations [8, 9, 24, 26], and those showing the decidability of model checking for different modal and temporal logics. In this paper, we contribute to this second group. The model checking problem has been studied so far for three infinite-state models: context-free processes, pushdown processes, and...","1970-01-01"
662,219404,"Applications of Multi-Terminal Binary Decision Diagrams","E. Clarke; M. Fujita; X. Zhao;","Functions that map boolean vectors into the integers are important for the design and verification of arithmetic circuits. MTBDDs and BMDs have been proposed for representing this class of functions. We discuss the relationship between these methods and describe a generalization called hybrid decision diagrams which is often much more concise. The Walsh transform and Reed-Muller transform have numerous applications in computeraided design, but the usefulness of these techniques in practice has been limited by the size of the boolean functions that can be transformed. Currently available techniques limit the functions to less than 20 variables. In this paper, we show how to compute concise representations of the Walsh transform and Reed-Muller transform for functions with several hundred variables. We show how to implement arithemetic operations efficiently for hybrid decision diagrams. In practice, this is one of the main limitations of BMDs since performing arithmetic operations on fu...","1995-06-23"
663,219735,"Combination Techniques and Decision Problems for Disunification","Franz Baader; Klaus U. Schulz;","Previous work on combination techniques considered the question of how to combine unification algorithms for disjoint equational theories E 1 ; : : : ; E n in order to obtain a unification algorithm for the union E 1 [ : : : [ E n of the theories. Here we want to show that variants of this method may be used to decide solvability and ground solvability of disunification problems in E 1 [ : : : [E n . Our first result says that solvability of disunification problems in the free algebra of the combined theory E 1 [ : : : [E n is decidable if solvability of disunification problems with linear constant restrictions in the free algebras of the theories E i (i = 1; : : : ; n) is decidable. In order to decide ground solvability (i.e., solvability in the initial algebra) of disunification problems in E 1 [ : : : [ E n we have to consider a new kind of subproblem for the particular theories E i , namely solvability (in the free algebra) of disunification problems with linear constant restricti...","1995-10-11"
664,220337,"Symbolic Model Checking for Sequential Circuit Verification","D. E. Long; D. L. Dill; E. M. Clarke; J. R. Burch; K. L. Mcmillan;","The temporal logic model checking algorithm of Clarke, Emerson, and Sistla [17] is modified to represent state graphs using binary decision diagrams (BDDs) [7] and partitioned transition relations [10, 11]. Because this representation captures some of the regularity in the state space of circuits with data path logic, we are able to verify circuits with an extremely large number of states. We demonstrate this new technique on a synchronous pipelined design with approximately 5 Theta 10 120 states. Our model checking algorithm handles full CTL with fairness constraints. Consequently, we are able to express a number of important liveness and fairness properties, which would otherwise not be expressible in CTL. We give empirical results on the performance of the algorithm applied to both synchronous and asynchronous circuits with data path logic. 1 Introduction Bugs found late in the design phase of a digital circuit are a major cause of unexpected delays in realizing the circuit in...","1993-12-17"
665,220463,"Will The Robot Do The Right Thing?","Alan K. Mackworth; Ying Zhang;","Constraint Nets have been developed as an algebraic on-line computational model of robotic systems. A robotic system consists of a robot and its environment. A robot consists of a plant and a controller. A constraint net is used to model the dynamics of each component and the complete system. The overall behavior of the system emerges from the coupling of each of its components. The question posed in the title is decomposed into two questions: first, what is the right thing? second, how does one guarantee the robot will do it? We answer these questions by establishing a formal approach to the specification and verification of robotic behaviors. In particular, we develop a real-time temporal logic for the specification of behaviors and a new verification method, based on timed 8-automata, for showing that the constraint net model of a robotic system satisfies the specification of a desired global behavior of the system. Since the constraint net model of the controller can also serve as...","1994-05-19"
666,222245,"Symbolic Model Checking for Probabilistic Processes","Christel Baier; Mark Ryan; Marta Kwiatkowska;","We introduce a symbolic model checking procedure for Probabilistic Computation Tree Logic (PCTL) and its generalization PCTL over labelled Markov chains as models. Model checking for probabilistic logics typically involves solving linear equation systems as means to ascertain the probability of a given (non-probabilistic) formula holding in a state. Our algorithm is based on the idea of representing the matrices used in the linear equation systems in terms of an appropriate generalization of Binary Decision Diagrams (BDDs) called Multi-Terminal Binary Decision Diagrams (MTBDDs) introduced in Clarke et al [8], and combining that with BDD-based model checking. To enable precise probability calculation for path formulas we use the standard construction of the Rabin automaton (via Vardi &Wolper construction of the Buchi automaton followed by Safra's determinization) for an LTL formula and, as suggested by de Alfaro [2], construct the product of thus obtained automaton with the Markov c...","1997-01-16"
667,222394,"Operational Semantics Based Formal Symbolic Simulation","K. G. W. Goossens; Scotland U. K;","This paper describes the development of progressively more powerful and abstract hardware simulators. A small computer hardware design and description language picoella is then introduced, followed by its formal semantics. Using a number of small examples, we will then show the how this formal semantics may be used within a proof system as a sophisticated simulation tool. Examples include some full adders, a general N bit adder, and two parity checkers. Keyword Codes: I.2.3; B.7.2; F.3 Keywords: Deduction and Theorem Proving; Integrated Circuits, Design Aids; Logics and Meaning of Programs 1 Introduction This introduction describes the development of various kinds of hardware simulators. Following this, a small hdl called picoella, is introduced in section 2. Its formal semantics, and a brief account of this semantics' embedding in a proof system are described in section 3. Section 4 illustrates the use of the semantics in the capacity of a symbolic simulator, as described in the rema...","1992-10-27"
668,222571,"Interval Diagram Techniques for Symbolic Model Checking of Petri Nets","Karsten Strehl; Lothar Thiele;","Symbolic model checking tries to reduce the state explosion problem by implicit construction of the state space. The major limiting factor is the size of the symbolic representation mostly stored in huge binary decision diagrams. A new approach to symbolic model checking of Petri nets and related models of computation is presented, outperforming the conventional one and avoiding some of its drawbacks. Our approach is based on a novel, efficient form of representation for multi-valued functions called interval decision diagram (IDD) and the corresponding image computation technique using interval mapping diagrams (IMDs). IDDs and IMDs are introduced, their properties are described, and the feasibility of the new approach is shown with some experimental results. 1 Introduction During the last years, a promising approach named symbolic model checking [2] was applied to many areas of system verification, even in industrial applications. This approach makes use of binary decision diagrams ...","1999-03-14"
669,223091,"User Guide for the PVS Specification and Verification System (Beta Release)","J. M. Rushby; N. Shankar; S. Owre;","this document to refer to either the context or to the associated directory. Note that the directory may contain files other than those produced by or for PVS, but these are not considered to be a part of the context. During a PVS session, there is always a current context in which the activities of PVS take place. For example, typechecking of a specification file is allowed only if the file is a part of the current context. There are commands for changing the current context during a PVS session, so that it is unnecessary to exit PVS just to change contexts. Because contexts are associated with Unix directories there can be at most one PVS context in a directory, but a directory that contains a PVS context may also contain arbitrary additional files. User Interface","1996-02-08"
670,223320,"ARC - A Tool for Efficient Refinement and Equivalence Checking for CSP","Atanas N. Parashkevov; Jay Yantchev;","This paper presents the design and implementation of ARC --- a tool for automated verification of concurrent systems. The tool is based on the untimed CSP language, its semantic models and theory of refinement. We alleviate the combinatorial explosion problem using Ordered Binary Decision Diagrams (OBDDs) for the internal representation of complex data structures --- sets and labeled transition systems (LTS). The semantically complex external choice operator is translated into the corresponding LTS using an optimized algorithm. This and some other implementation improvements allow verifying systems with up to 10 33 states, which is consistent with the capabilities of other OBDD-based approaches. Compared to two existing CSP tools, FDR and MRC, ARC has fewer language restrictions and is more memory efficient. A performance comparison based on the nschedulers and dining philosophers problems suggests that the checking algorithm of ARC is, in most cases, faster than those of the other ...","1970-01-01"
671,223431,"Scheduling Hardware/Software Systems Using Symbolic Techniques","Dirk Ziegenbein; Jurgen Teich; Karsten Strehl; Lothar Thiele; Rolf Ernst;","In this paper, a scheduling method for heterogeneous embedded systems is developed. At first, an internal representation model called FunState is presented which enables the explicit representation of nondeterminism and scheduling using a combination of functions and state machines. The new scheduling method is able to deal with mixed data/control flow specifications and takes into account different mechanisms of non-determinism as occurring in the design of embedded systems. Constraints imposed by other already implemented components are respected. The scheduling approach avoids the explicit enumeration of execution paths by using symbolic techniques and guarantees to find a deadlock-free and bounded schedule if one exists. The generated schedule consists of statically scheduled basic blocks which are dynamically called at run time. 1 Introduction One of the major sources of complexity in the design of embedded systems is related to their heterogeneity. On the one hand, the specific...","1999-09-29"
672,223672,"A Language Independent Scanner Generator","Teodor Rus; Tom Halverson;","This paper discusses a new methodology for scanner generation that supports language independent lexicon specification and automatic generation of stand alone lexical analyzers from specifications. The mechanism that sits at the basis of this methodology is the layering of the lexicon specification on two levels: in the first level, ""universal"" lexical constructs which are used as building blocks by most programming languages are defined, and in the second level, customized lexical constructs of specific programming languages are specified in terms of universal lexical constructs. The universal lexicon is specified by regular expressions over a global alphabet used by most programming languages, such as the character set of a keyboard, and is efficiently implemented by deterministic finite automata. The customized lexicon is conveniently specified by regular expressions of properties of universal lexical constructs and is implemented by nondeterministic automata whose transition functi...","1999-02-17"
673,223844,"Another Look at LTL Model Checking","E. Clarke; K. Hamaguchi; O. Grumberg;","We show how LTL model checking can be reduced to CTL model checking with fairness constraints. Using this reduction, we also describe how to construct a symbolic LTL model checker that appears to be quite efficient in practice. In particular, we show how the SMV model checking system developed by McMillan [16] can be extended to permit LTL specifications. The results that we have obtained are quite surprising. For the examples we considered, the LTL model checker required at most twice as much time and space as the CTL model checker. Although additional examples still need to be tried, it appears that efficient LTL model checking is possible when the specifications are not excessively complicated. This research was sponsored in part by the Avionics Laboratory, Wright Research and Development Center, Aeronautical Systems Division (AFSC), U.S. Air Force, Wright-Patterson AFB, Ohio 45433-6543 under Contract F33615-90-C-1465, ARPA Order No. 7597 and in part by the National Science foundat...","1994-03-24"
674,224357,"Real-Time Symbolic Model Checking for Discrete Time Models","null","The bdd-based symbolic model checking algorithm given in [4, 10] is extended to handle real-time properties using the bounded until operator [9]. We believe that this algorithm, which is based on discrete time, is able to handle many real-time properties that arise in practical problems. One example of such a property is priority inversion. This is a serious problem that can make real-time systems unpredictable in subtle ways. Our work discusses this problem and presents one possible solution. The solution is formalized and verified using the modified algorithm. We also propose another extension to the model checking algorithm. Timed transition graphs are transition graphs in which events may take non-unit time to occur. The time it takes for a transition in a TTG to happen is determined by a time interval. This allows the construction of smaller and more realistic models. A symbolic model checking algorithm is given for formulas using the bounded until operator in TTG models. 1 Intr...","1994-05-25"
675,224696,"Mathematical Programming in Neural Networks","O. L. Mangasarian;","This paper highlights the role of mathematical programming, particularly linear programming, in training neural networks. A neural network description is given in terms of separating planes in the input space that suggests the use of linear programming for determining these planes. A more standard description in terms of a mean square error in the output space is also given, which leads to the use of unconstrained minimization techniques for training a neural network. The linear programming approach is demonstrated by a brief description of a system for breast cancer diagnosis that has been in use for the last four years at a major medical facility. 1 What is a Neural Network? A neural network is a representation of a map between an input space and an output space. A principal aim of such a map is to discriminate between the elements of a finite number of disjoint sets in the input space. Typically one wishes to discriminate between the elements of two disjoint point sets in the n-dim...","1970-01-01"
676,225018,"Probabilistic Predicate Transformers","Annabelle Mciver; Carroll Morgan; Jw S; Jw Sanders; Karen Seidel;","Predicate transformers facilitate reasoning about imperative programs, including those exhibiting demonic non-deterministic choice. Probabilistic predicate transformers extend that facility to programs containing probabilistic choice, so that one can in principle determine not only whether a program is guaranteed to establish a certain result, but also its probability of doing so. We bring together independent work of Claire Jones and Jifeng He, showing how their constructions can be made to correspond; from that link between a predicate-based and a relation-based view of probabilistic execution we are able to propose `probabilistic healthiness conditions', generalising those of Dijkstra for ordinary predicate transformers. The associated calculus seems suitable for exploring further the rigorous derivation of imperative probabilistic programs. Keywords: Probability, predicate transformers, non-determinism, verification, refinement, imperative programming, program derivation, Galois c...","1995-08-11"
677,225173,"Symbolic Model Checking with Partitioned Transition Relations","D. E. Long; E. M. Clarke; J. R. Burch;","We significantly reduce the complexity of BDD-based symbolic verification by using partitioned transition relations to represent state transition graphs. This method can be applied to both synchronous and asynchronous circuits. The times necessary to verify a synchronous pipeline and an asynchronous stack are both bounded by a low polynomial in the size of the circuit. We were able to handle stacks with over 10 50 reachable states and pipelines with over 10 120 reachable states. 1 Introduction Although methods for verifying sequential circuits by searching their state transition graphs have been investigated for many years, it is only recently that such methods have begun to seem practical. Before, the largest circuits that could be verified had about 10 6 states. Now it is easy to check circuits that have many orders of magnitude more states [3, 5, 6, 7]. The reason for the dramatic increase is the use of special data structures such as binary decision diagrams (BDDs) [2] for...","1992-07-10"
678,225251,"Interval Diagram Techniques and Their Applications","Karsten Strehl; Lothar Thiele;","Interval diagram techniques have been applied successfully to symbolic formal verification of process networks, Petri nets, and timed automata, outperforming conventional approaches and avoiding some of their drawbacks. Our approach is based on a novel, efficient form of representation for multi-valued functions called interval decision diagram (IDD) and the corresponding image computation technique using interval mapping diagrams (IMDs). Besides formal verification, interval diagram techniques may be used to perform symbolic scheduling of heterogeneous embedded systems. IDDs and IMDs are presented, their properties are described, and the above applications are sketched. 1 Introduction Many formal verification methods such as symbolic model checking try to reduce the state explosion problem by implicit construction of the state space. The major limiting factor is the size of the symbolic representation mostly stored in huge binary decision diagrams (BDDs). When applying conventional s...","1999-05-20"
679,225404,"Word Level Symbolic Model Checking","E. Clarke; X. Zhao;","The highly-publicized division error in the Pentium has emphasized the importance of formal verification of arithmetic operations. Symbolic model checking techniques based on binary decision diagrams (BDDs) have been successful in verifying control logic. However, lack of proper representation for functions that map boolean vectors into integers has prevented this technique from being used for verifying arithmetic circuits. We have used hybrid decision diagrams to represent the integer functions that occur in the arithmetic circuit verification. For the state variables corresponding to data bits, our representation behaves like a binary moment diagram (BMD) while for the state variables corresponding to control signals, it behaves like a multi-terminal BDD (MTBDD). By using this representation, we are able to handle circuits with both control logic and wide data paths. We have extended the symbolic model checking system SMV so that it can also handle properties involving relationships ...","1995-06-23"
680,225734,"Systematic Software Development Using VDM","Cliff B Jones;","ion and Program Synthesis, volume 75: Math. Studies of Information Processing of Lecture Notes in Computer Science. Springer-Verlag, 1979. [Bjo80a] D. Bjorner, editor. Abstract Software Specifications, volume 86 of Lecture Notes in Computer Science. Springer-Verlag, 1980. [Bjø80b] D. Bjørner. Application of formal models. In Data Bases. INFOTECH Proceedings, October 1980. [Bjø80c] D. Bjørner. Experiments in block-structured goto-modelling: Exits vs. continuations. [Bjo80a], pages 216--247, 1980. [Bjø80d] D. Bjørner. Formal description of programming concepts: a software engineering viewpoint. In MFCS '80, Lecture Notes Vol. 88, pages 1--21. Springer-Verlag, 1980. [Bjø81] D. Bjørner. The VDM principles of software specification and program design. In TC2 Work.Conf. on Formalization of Programming Concepts, pages 44--74, LNCS Vol. 107, 1981. IFIP, Springer-Verlag. [BL84] R. Bahlke and T. Letschert. Ausfuhrbare denotationale semantik. In Proc. 4, pages 3--19. Gl-Fachgesprach Implementie...","1996-05-30"
